id,pantun,quality,reason,avg_syllables,rhyme_type,line_count
1,"Pohon meranti teguh berdiri,
Riuh camar terbang ke kali;
Indah bahasa santun bestari,
Tanda budi dikenang sekali.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.5,ABAB,4
2,"Pergi ke kedai membeli sagu,
Pulang ke rumah dengan girang;
Saya suka menyanyi lagu,
Hati senang ketawa girang.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.25,ABAB,4
3,"Malam itu sangat gelap,
Terdengar esakan adik menangis;
Masakan emak sangat sedap,
Bila dirasa terasa manis.",Moderate,No nature elements,9.5,ABAB,4
4,"Juadah terhidang ikan kari,
Tambah gulai lemak manis;
Warna hijau berduri-duri,
Raja buah itu durian yang manis.",Moderate,Word count per line is not in the range of 4-5,9.0,ABAB,4
5,"Cantik sungguh baunya melati,
Bau harum indah berseri;
Ibu bapa perlu dihormati,
Kanak-kanak patut dikasihi.",Moderate,Word count per line is not in the range of 4-5; No nature elements,9.25,ABAB,4
6,"Buah rambutan manis rasanya,
Berwarna merah menarik perhatian;
Buah tradisional jangan dilupakannya,
Mari bersama-sama kita rasakan.",Moderate,No nature elements,11.0,ABAB,4
7,"Pergi ke kedai membeli ikan,
Beli ikan dan tong gas;
Saya budak suka bersukan,
Otak cerdas badan cergas.",Moderate,Syllable count per line is not in the range of 8-12,8.5,ABAB,4
8,"Ikan sepat ikan cencaru,
Disimpan pak Wan di atas para;
Saya dapat kawan baharu,
Kami berkawan dengan gembira.",Moderate,Word count per line is not in the range of 4-5,9.5,ABAB,4
9,"Hulu keris Pulau Peria,
Dibuat main pendekar lama;
Wajah manis lagi ceria,
Alif Zahin empunya Nama.",Moderate,No nature elements,8.25,ABAB,4
10,"Tumbuh rumput reput mempelam,
Dusun rumah harta peninggalan;
Rakyat sejemput pimpinan setalam,
Berdegar ceramah tandus amalan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
