id,pantun,quality,reason,avg_syllables,rhyme_type,line_count
1,"Pisang emas dan ikan gelama,
Labu sebelah pisang sesisir;
Hanyut lemas terdampar bersama,
Hilang lelah senyum terukir.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.75,ABAB,4
2,"Penuh segayung santan ditimbang,
Pisang emas dan ikan gelama;
Gigihlah berdayung melayan gelombang,
Hanyut lemas terdampar bersama.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.5,ABAB,4
3,"Tatkala ke pekan singgah di pasar,
Penuh segayung santan ditimbang;
Jangan dibiarkan perahu terdampar,
Gigihlah berdayung melayan gelombang.",Moderate,Word count per line is not in the range of 4-5,11.0,ABAB,4
4,"Kembangkan payung usah hujanan,
Tatkala ke pekan singgah di pasar;
Pegang pendayung erat di tangan,
Jangan dibiarkan perahu terdampar.",Moderate,Word count per line is not in the range of 4-5,10.5,ABAB,4
5,"Terbang merbah ke pohon rambai,
Turun ke tanah mencari makanan;
Dosa dan ukhuwah semakin diabai,
Surah dan sunnah menjadi mainan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
6,"Menjelang senja kumaandang takbir,
Terbang merbah ke pohon rambai;
Fitnah dan cerca mainan di bibir,
Dosa dan ukhuwah semakin diabai.",Moderate,Word count per line is not in the range of 4-5,10.0,ABAB,4
7,"Monyet cempera di rantingan sena,
Menjelang senja kumandang takbir;
Kebebasan bersuara disalah guna,
Fitnah dan cerca mainan di bibir.",Moderate,Word count per line is not in the range of 4-5,10.75,ABAB,4
8,"Teduh panas di rumah jiran,
Kuih sedap diajak singgah;
Akal bernas jernih fikiran
Elok adab menghias tingkah.",Moderate,Syllable count per line is not in the range of 8-12,8.25,ABAB,4
9,"Adik-adik duduk perhati,
Teduh panas di rumah jiran;
Tanda cerdik terrib pekerti,
Akal bernas jernih fikiran.",Moderate,Word count per line is not in the range of 4-5,9.0,ABAB,4
10,"Susun bata di tangga pangsa,
Adik-adik duduk perhati;
Santun kata halus bahasa,
Tanda cerdik tertib pekerti.",Moderate,Word count per line is not in the range of 4-5,9.0,ABAB,4
11,"Di tepi sawah pohon mengkudu,
Batangnya basah dek hujan lebat;
Lama terpisah menggamit rindu,
Rasa gelisah nan sukar dirawat.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
12,"Kawanan berudu di kolam takungan,
Di tepi sawah pohon mengkudu;
Tiap waktu mencoret kenangan,
Lama terpisah menggamit rindu.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
13,"Ikan toman aneka warna,
Makan berudu kolam takungan;
Setiap halaman memberi makna,
Tiap waktu mencoret kenangan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.5,ABAB,4
14,"Ikan gelama si ikan puyu,
Ikan toman aneka warna;
Kawan umpama senaskah buku
Setiap halaman memberi makna.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",9.75,ABAB,4
15,"Ambil belati ambil gergaji,
Ditebang pelam ditebang nangka;
Saling berganti puji dan keji,
Bagaikan talam bermuka-muka.",Moderate,Word count per line is not in the range of 4-5,10.0,ABAB,4
16,"Basah muka disapu ke baju,
Ketawa lelah senda gurauan;
Syurga neraka mereka penentu,
Redha Allah mereka abaikan.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.0,ABAB,4
17,"Gelang suasa terkena basah,
Basah muka disapu ke baju;
Berebut kuasa dalil berubah,
Syurga neraka mereka penentu.",Moderate,No nature elements,10.0,ABAB,4
18,"Berair mata menitis ke nyiru,
Gelang suasa terkena basah;
Kecamuk jelata semakin keliru,
Berebut kuasa dalil berubah.",Moderate,No nature elements,10.25,ABAB,4
19,"Duduk di pangkin tawa berdekah,
Berair mata menitis ke nyiru;
Angkara pemimpin kehilangan arah,
Kecamuk jelata semakin keliru.",Moderate,No nature elements,11.0,ABAB,4
20,"Terbang rerama nyelinap puyuh,
Duduk di pangkin tawa berdekah;
Sebangsa seagama menjadi musuh,
Angkara pemimpin kehilangan arah.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.75,ABAB,4
21,"Pinggir belukar arah ke kota,
Terbang rerama nyelinap puyuh;
Fitnahnya mekar dalam sengketa,
Sebangsa seagama menjadi musuh.",Good,"Good structure, ABAB rhyme, sufficient syllables & words, contains good methapors",10.25,ABAB,4
22,"Dahan nan sekah jatuh ke tanah,
Pinggir belukar arah ke kota,
Kata bertingkah di dalam fitnah,
Fitnahnya mekar dalam sengketa.",Moderate,Word count per line is not in the range of 4-5,10.0,ABAB,4
23,"Unggas bersarang terbang merata,
Fahan nan sekah jatuh ke tanah;
Melayu hilang di dalam kata,
Kata bertingkah di dalam fitnah.",Moderate,Word count per line is not in the range of 4-5,10.0,ABAB,4
